id,subject,question,delta_correctness,delta_completeness,delta_clarity,delta_conciseness,delta_overall
46d97,Chemistry,"Equilibrium concentration of B if initial moles of 'A', 'B', and 'C' are 8, 16 & 16 respectively in 1 litre container, is : Given : A(g) + 3 B(g) → C (g);  Kc = 10^9 M^-3

The image shows a chemical equilibrium problem. The reaction is A(g) + 3B(g) goes to C(g). The equilibrium constant Kc is given as 10^9 M^-3. The initial moles of A, B, and C are 8, 16, and 16 respectively in a 1-liter container.",0.0,0.0,0.0,0.0,0.0
4760c,Mathematics,"Let $(x_1, y_1)$, $(x_2, y_2)$ and $(x_3, y_3)$ are the vertices of a triangle ABC respectively. D is a point on BC such that BC = 3BD. The equation of the line through A and D, is:",0.0,0.0,0.0,0.0,0.0
35f7e,Chemistry,"A+B → C+D Initially concentration of B is 1.5 times of A. At Eqm concn of A & C are equal. Find Kc.

The image shows a chemical reaction A + B converting into C + D. It is also mentioned that initially concentration of B is 1.5 times of A. At equilibrium concentration of A and C are equal. The question asks to find the value of equilibrium constant, Kc.",0.0,0.0,0.0,0.0,0.0
ca24f,Mathematics,"यदि $\alpha$ तथा $\beta$ समीकरण $(x - a) (x - b) = c$ एवं $c \neq 0$ के मूल हाँ, तो समीकरण $(x-\alpha) (x-\beta)+c=0$ के मूल होंगे-",0.0,0.0,0.0,0.0,0.0
cbbee,Physics,"A smooth parabolic wire track defined by the relation $$\(y=\frac{x^2}{2a}\)$$ is fixed in x-y plane in a gravity free space as shown in figure. An electric field $$\(\overrightarrow{E}=\alpha y\hat{i}+\alpha x\hat{j}\)$$ (where $$\(\alpha\)$$ is a positive constant) exists in the region. A small bead of mass 'm' and carrying charge +q, which just fits in wire track is released from rest at position $$\(A\bigg(-a,\frac{a}{2}\bigg)\)$$. As it reaches to position $$\(B\bigg(a,\frac{a}{2}\bigg)\)$$, its speed is $$\(V_0=x\bigg(\sqrt{\frac{q\alpha a^2}{2m}}\bigg)\)$$. Find x.

The diagram shows a smooth parabolic wire track in the x-y plane defined by \(y=\frac{x^2}{2a}\), with the vertex at the origin (0,0). The x-axis is horizontal, and the y-axis is vertical. Two points, A and B, are marked on the wire at coordinates \((-a, \frac{a}{2})\) and \((a, \frac{a}{2})\) respectively, connected by a horizontal dashed line at height \(\frac{a}{2}\). A small bead of mass m and positive charge +q moves along this frictionless wire from point A to point B under the influence of an electric field \(\overrightarrow{E}=\alpha y\hat{i}+\alpha x\hat{j}\) in a gravity-free environment.",0.0,0.0,0.0,0.0,0.0
cc848,Mathematics,"A line passes through (2, 2) and cuts a triangle of area 9 square units from the first quadrant. The sum of all possible values for the slope of such a line, is:",0.0,0.0,0.0,0.0,0.0
47d00,Chemistry,% by mass of H₂ in a mixture containing H₂ & O₂ at 1 bar pressure is 20. Find partial pressure of H₂ & avg. molecular mass of mixture.,0.0,0.0,0.0,0.0,0.0
4829f,Mathematics,The line (k + 1)²x + ky - 2k² - 2 = 0 passes through a point regardless of the value k. Which of the following is the line with slope 2 passing through the point?,0.0,0.0,0.0,0.0,0.0
4ad3d,Chemistry,N₂O₃ में इलेक्ट्रॉनों के एकाकी युग्मों (lone pairs) की कुल संख्या है -,0.0,0.0,0.0,0.0,0.0
4c1ec,Physics,"A composite rod made of three rods of equal length and cross-section as shown in the fig. The thermal conductivities of the materials of the rods are K/2, 5K and K respectively. The end A and end B are at constant temperatures. All heat entering the face A goes out of the end B there being no loss of heat from the sides of the bar. The effective thermal conductivity of the bar is

The diagram shows a composite rod made of three sections, labeled with thermal conductivities K/2, 5K, and K, respectively. The rod extends horizontally from point A to point B. The three sections are of equal length and cross-section.",0.0,0.0,0.0,0.0,0.0
cd5cd,Mathematics,Let \( f(n) = \sum_{r=0}^{n} \sum_{k=r}^{n} {k \choose r} \). Find the total number of divisors of f(11),0.0,0.0,0.0,0.0,0.0
ce846,Mathematics,"Consider the five points comprising of the vertices of a square and the intersection point of its diagonals. How many triangles can be formed using these points?

The question describes a geometric configuration involving a square and the intersection point of its diagonals. It asks how many triangles can be formed using the five points, which include the four vertices of the square and the intersection point of its diagonals.",0.0,0.0,0.0,0.0,0.0
ce96a,Mathematics,"Consider the five points comprising of the vertices of a square and the intersection point of its diagonals. How many triangles can be formed using these points?

The question describes a geometric configuration involving a square and the intersection point of its diagonals. Specifically, it refers to five points: the four vertices of a square and the point where its diagonals intersect. The question asks how many triangles can be formed using these five points.",0.0,0.0,0.0,0.0,0.0
cfe6c,Mathematics,"का मान है:
$\begin{vmatrix} a & a+b & a+b+c \\ 2a & 3a+2b & 4a+3b+2c \\ 3a & 6a+3b & 10a+6b+3c \end{vmatrix}$

The image contains a determinant with three rows and three columns. The elements of the determinant are algebraic expressions involving variables a, b, and c. The first row consists of a, a+b, and a+b+c. The second row consists of 2a, 3a+2b, and 4a+3b+2c. The third row consists of 3a, 6a+3b, and 10a+6b+3c.",0.0,0.0,0.0,0.0,0.0
d051d,Chemistry,The image shows a chemical reaction scheme. Reactant 'X' is subjected to ozonolysis (i. O3) followed by reductive workup with zinc in water (ii. Zn/H2O). The product of this reaction is a molecule with two ketone groups. The reactant 'X' is converted into product (iv) after the reaction.,0.0,0.0,0.0,0.0,0.0
d0acd,Chemistry,"कॉलम-1
(A) STP पर H₂ गैस
(B) STP पर O₂ गैस का घनत्व 10/7 g/L से अधिक होता है
(C) STP पर SO₂ गैस का घनत्व 20/7 g/L से अधिक होता है
(D) STP पर He गैस का घनत्व 1/5.6 g/L से कम होता है।
कॉलम-II
(p) मोलर आयतन = 22.4 L
(q) मोलर आयतन > 22.4 L
(r) आदर्श गैस की तुलना में अधिक संपीड्य है।
(s) आदर्श गैस की तुलना में कम संपीड्य है।",0.0,0.0,0.0,0.0,0.0
4ec1a,Physics,"Initially system is at equilibrium, then find acceleration of each block just after cutting string.

The diagram shows a spring connected to a ceiling. A 10kg block is connected to the spring. A string connects the 10kg block to a 20kg block. The system is initially at equilibrium.",0.0,0.0,0.0,0.0,0.0
4eedc,Physics,"The minimum uncertainty in the speed of an electron in an one dimensional region of length 2a₀ (Where a₀ = Bohr radius 52.9 pm) is ______ km s⁻¹.
(Given : Mass of electron = 9.1 × 10⁻³¹ kg, Planck's constant h = 6.63 × 10⁻³⁴ Js)",0.0,0.0,0.0,0.0,0.0
4f9de,Mathematics,यदि समीकरण x² + px + q = 0 का एक मूल दूसरे मूल का वर्ग है तो,0.0,0.0,0.0,0.0,0.0
50440,Mathematics,"Let ƒ(x) is a derivable function which is increasing for all x $$\( \in \)$$ R (having no critical point), then List-I                                   List-IIP. ƒ '(1+x) is                       1.    decreasing function for all xQ. ƒ(3 – 4x) is                    2.    increasing for $$\( x$$$$>$$$$\frac{1}{2} \)$$ R. ƒ(x2 – x) is                     3.    increasing function for all xS. {ƒ(x)}3 is                       4.    cant say about increasing or decreasing",0.0,0.0,0.0,0.0,0.0
50bd4,Mathematics,How many 10 digit numbers can be made with odd digits so that no two consecutive digits are same.,0.0,0.0,0.0,0.0,0.0
510d1,Physics,"एक पतले उत्तल लैंस की फोकस दूरी ज्ञात करने के लिए $\frac{1}{u}$ एवं $\frac{1}{v}$ के बीच अभिरेख खींचा गया है, जैसा कि चित्र में द का अपवर्तनांक 1.5 है एवं इसके दोनों वक्र पृष्ठों की त्रिज्याएँ एकसमान हैं एवं R के बराबर हैं। R का मान (जहाँ: $u$ = वस्तु दूरी, $v$ = प्रतिबिम्ब दूरी)",0.0,0.0,0.0,0.0,0.0
51195,Chemistry,"The density of an equilibrium mixture of N₂O₄ and NO₂ at 1 atm and 625 K is 1.15 g/L. Calculate Kp for the equilibrium, N₂O₄(g) ⇌ 2NO₂(g). [R = 0.08 lt-atm/mol-K]

The image presents a chemical equilibrium problem involving the reversible reaction of N2O4(g) to 2NO2(g). The problem states that the density of an equilibrium mixture of N2O4 and NO2 at 1 atm and 625 K is 1.15 g/L. It asks to calculate Kp for the equilibrium, given the gas constant R = 0.08 L·atm/mol·K.",0.0,0.0,0.0,0.0,0.0
54381,Chemistry,"Kp for the reaction NH4I(s) <=> NH3(g) + HI(g) is 1/4 at 300 K. Above equilibrium is established by taking 4 moles of NH4I(s) in 100 litre container, then moles of NH4I(s) left in the container at equilibrium is [Take R = 1/12 Lt. atm mol-1 K-1]

The image presents a chemical equilibrium problem involving the decomposition of solid ammonium iodide (NH4I) into gaseous ammonia (NH3) and hydrogen iodide (HI). The equilibrium reaction is shown with a double arrow indicating reversibility: NH4I(s) <=> NH3(g) + HI(g). The equilibrium constant Kp for this reaction is given as 1/4 at 300 K. The problem states that the equilibrium is established by taking 4 moles of NH4I(s) in a 100-liter container. The question asks to find the moles of NH4I(s) left in the container at equilibrium. The value of the gas constant R is provided as 1/12 L atm mol-1 K-1.",0.0,0.0,0.0,0.0,0.0
c4c0f,Physics,"Mr. Verma (50 kg) and Mr. Mathur (60 kg) are sitting at the two extremes of a 4 m long boat (40 kg) standing still in water. To discuss a mechanics problem, they come to the middle of the boat. Neglecting friction with water, how far does the boat move on the water during the process?",0.0,0.0,0.0,0.0,0.0
c55cf,Physics,"A smooth parabolic wire track defined by the relation $$\(y=\frac{x^2}{2a}\)$$ is fixed in x-y plane in a gravity free space as shown in figure. An electric field $$\(\overrightarrow{E}=\alpha y\hat{i}+\alpha x\hat{j}\)$$ (where $$\(\alpha\)$$ is a positive constant) exists in the region. A small bead of mass 'm' and carrying charge +q, which just fits in wire track is released from rest at position $$\(A\bigg(-a,\frac{a}{2}\bigg)\)$$. As it reaches to position $$\(B\bigg(a,\frac{a}{2}\bigg)\)$$, its speed is $$\(V_0=x\bigg(\sqrt{\frac{q\alpha a^2}{2m}}\bigg)\)$$. Find x.

The diagram shows a smooth parabolic wire track in the x-y plane defined by \(y=\frac{x^2}{2a}\), symmetric about the y-axis with vertex at the origin (0,0). Points A and B lie on the parabola at coordinates (-a, a/2) and (a, a/2) respectively, connected by a dashed horizontal line indicating equal y-values. A small bead of mass m and positive charge +q is placed at point A and is constrained to move along the wire track. The coordinate axes are labeled with x horizontal and y vertical. The system is in a gravity-free space with an electric field \(\overrightarrow{E} = \alpha y \hat{i} + \alpha x \hat{j} \) present. The bead is released from rest at A and moves to B, where its speed is given by \(V_0 = x \left(\sqrt{\frac{q\alpha a^2}{2m}}\right)\).",0.0,0.0,0.0,0.0,0.0
c5beb,Mathematics,"Let (x₁, y₁), (x₂, y₂) and (x₃, y₃) are the vertices of a triangle ABC respectively. D is a point on BC such that BC = 3BD. The equation of the line through A and D, is:",0.0,0.0,0.0,0.0,0.0
c5d80,Mathematics,"आव्यूह A = $\begin{bmatrix} \alpha & \beta & \gamma \\ \alpha^2 & \beta^2 & \gamma^2 \\ \beta + \gamma & \gamma + \alpha & \alpha + \beta \end{bmatrix}$, है, जहाँ $\alpha$, $\beta$, $\gamma$ तीन भिन्न पूर्णांक संख्याएं हैं। यदि $\frac{det (adj (adj (adj(adj A))))}{(\alpha-\beta)^{16} (\beta-\gamma)^{16} (\gamma-\alpha)^{16}}$ = $2^{32} \times 3^{16}$ है, तो इस प्रकार के त्रिकों ($\alpha$, $\beta$, $\gamma$) की संख्या है _______.

The image shows a mathematical problem involving a 3x3 matrix A, where the elements are expressions involving \(\alpha\), \(\beta\), and \(\gamma\). The matrix A is defined as follows:
\[ A = \begin{bmatrix} \alpha & \beta & \gamma \\ \alpha^2 & \beta^2 & \gamma^2 \\ \beta + \gamma & \gamma + \alpha & \alpha + \beta \end{bmatrix} \]
It is given that \(\alpha\), \(\beta\), and \(\gamma\) are distinct integers. The problem involves the determinant of the adjugate of the adjugate of the adjugate of the adjugate of A, which is expressed as:
\[ \frac{\det(\text{adj}(\text{adj}(\text{adj}(\text{adj}(\text{adj }A))))}{(\alpha - \beta)^{16} (\beta - \gamma)^{16} (\gamma - \alpha)^{16}} = 2^{32} \times 3^{16} \]
The task is to find the number of triples \((\alpha, \beta, \gamma)\) that satisfy this condition.",0.0,0.0,0.0,0.0,0.0
c6245,Mathematics,"f(x) = x^5 + ax^4 + bx^3 + cx^2 + dx + e; f(i) = i ∀ i = 1, 2, 3, 4, 5, f(0) ज्ञात कीजिए।",0.0,0.0,0.0,0.0,0.0
ca152,Physics,6 m त्रिज्या वाले एक गोले का आयतन आवेश घनत्व 2 μC cm⁻³ है। गोले के पृष्ठ से बाहर आ रही बल रेखाओं की प्रति इकाई पृष्ठ क्षेत्रफल संख्या _______ × 10¹⁰ NC⁻¹ होगी।,0.0,0.0,0.0,0.0,0.0
c4131,Physics,The length of a potentiometer wire is l. A cell of emf E is balanced at a length l/3 from the positive end of the wire. If the length of the wire is increased by l/2. At what distance will the same cell give a balance point.,0.0,0.0,0.0,0.0,0.0
c4163,Mathematics,"lim x→0 cos(xe^x) - cos(xe^-x) / x^3

The image shows a limit problem. The expression is a fraction where the numerator is the difference of two cosine functions, and the denominator is x cubed. Specifically, the limit as x approaches 0 of (cos(xe^x) - cos(xe^-x)) / x^3 is shown.",0.0,0.0,0.0,0.0,0.0
c4677,Physics,"Suppose that the Sun consists entirely of hydrogen atom and releases the energy by the nuclear reaction, ${4}_{1}H \rightarrow {4}_{2}He$ with 26 MeV of energy released. If the total output power of the Sun is assumed to remain constant at $3.9 \times 10^{26} W$, find the time it will take to burn all the hydrogen. Take the mass of the Sun as $1.7 \times 10^{30} kg$.
Consider the following reaction ; ${2}H_{1} + {2}H_{1} = {4}He_{2} + Q$.
Mass of the deuterium atom = 2.0141 u ; Mass of the helium atom = 4.0024 u
This is a nuclear _______ reaction in which the energy Q is released is _______ MeV.",0.0,0.0,0.0,0.0,0.0
54d2f,Physics,For a substance the average life for a - emission is 3240 years and for b emission is 810 years. After how much time the 1/4 of the material remains by simultaneous emission :- [$$\(\ell \)$$n2 = 0.693],0.0,0.0,0.0,0.0,0.0
550b2,Mathematics,x के सभी वास्तविक मानों के लिये $\frac{x}{x^2+4}$ के मानों का परिसर होगा :,0.0,0.0,0.0,0.0,0.0
55f27,Chemistry,"The equilibrium constant Kc for the reaction, A(g) + 2B(g) ⇌ 3C(g) is 2 x 10-3. What would be the equilibrium partial pressure of gas C if initial pressure of gas A & B are 1 & 2 atm respectively.

The image shows a chemical reaction at equilibrium. Reactants A and B in the gaseous phase react reversibly to form product C, also in the gaseous phase. The reaction is represented as A(g) + 2B(g) ⇌ 3C(g). The equilibrium constant, Kc, for this reaction is given as 2 × 10⁻³.",0.0,0.0,0.0,0.0,0.0
560cd,Mathematics,"Find a point P on the line \(x + y = 6\) which is at a distance of \(2\sqrt{2}\) from A(5,5).",0.0,0.0,0.0,0.0,0.0
56def,Chemistry,"For the reaction : 2HI (g) ⇌ H2(g) + I2(g), the degree of dissociated (α) of HI(g) is related to equilibrium constant Kp by the expression

The image shows a chemical reaction at equilibrium: 2HI(g) <=> H2(g) + I2(g). The question asks how the degree of dissociation (α) of HI(g) is related to the equilibrium constant Kp. There are four multiple-choice options (A, B, C, and D) presenting different mathematical expressions relating α and Kp.",0.0,0.0,0.0,0.0,0.0
58578,Physics,"Find the distance traveled by the block before it stops if:

A block of mass 'm' is placed on a rough horizontal surface. The coefficient of friction between the block and the surface is represented by μ. The block has an initial velocity v0 in the rightward direction, and its initial position is defined as x=0. The X-axis is horizontal.",0.0,0.0,0.0,0.0,0.0
5884a,Chemistry,"For the reaction A(g) + 2B(g) ⇌ C(g) + D(g), Kc = 10^12. If the initial moles of A, B, C and D are 0.5, 1, 0.5 and 3.5 moles respectively in a one litre vessel. What is the equilibrium concentration of B?
A(g) + 2B(g) ⇌ C(g) + D(g) ; Kc = 10^12.

The image shows a reversible chemical reaction in the gaseous phase. Reactants A and B react to form products C and D. The reaction is represented as A(g) + 2B(g) ⇌ C(g) + D(g), with an equilibrium constant Kc = 10^12. The initial moles of A, B, C, and D are given as 0.5, 1, 0.5, and 3.5, respectively, in a one-liter vessel. The question asks for the equilibrium concentration of B.",0.0,0.0,0.0,0.0,0.0
595c3,Chemistry,"N₂ and H₂ are taken in 1 : 3 molar ratio in a closed vessel to attained the following equilibrium N2(g) + 3H2(g) ⇌ 2NH2(g). Find K for reaction at total pressure of 2P if PN₂ at equilibrium is p/3

The image shows a chemical equilibrium reaction between nitrogen gas (N2) and hydrogen gas (H2) to form ammonia gas (NH3). The reaction is represented by the equation N2(g) + 3H2(g) ⇌ 2NH3(g). The question asks to find the equilibrium constant (Kp) for the reaction, given that the total pressure is 2P and the partial pressure of N2 at equilibrium is P/3.",0.0,0.0,0.0,-1.0,0.0
5a07c,Physics,"एक प्रक्षेप्य को धरातल पर स्थित एक बिन्दु 0 से ऊर्ध्वाधर के साथ 45° के कोण पर 5.√2m/s की चाल से प्रक्षेपित कि जाता है। अपने प्रेक्षेप-पथ के उच्चिष्ठ बिन्दु पर प्रक्षेप्य दो समान भागों में विभक्त हो जाता है। विभक्त होने के 0.5s पश्चात्, एक भाग धरातल पर ऊर्ध्वाधर नीचे की ओर गिरता है। विभक्त होने के t सेकण्ड पश्चात्, दूसरा भाग बिन्दु 0 से मीटर की दूरी पर धरातल पर गिरता है। गुरूत्वीय त्वरण g = 10 m/s².
१ का मान
10. x का मान",0.0,0.0,0.0,-1.0,0.0
4d821,Physics,द्रव्यमान 0.5 kg की एक गेंद को 40 m की उंचाई से गिराया जाता है। गेन्द धरातल से टकराती है और 10 m की उंचाई तक उठती है। धरातल के साथ संघट्ट की अवधि में गेन्द का प्रदत आवेग है- (g = 9.8 m/s² ले),0.0,0.0,0.0,0.0,0.0
4db28,Physics,"A man walks 40 m North, then 30 m East and then 40 m South. Find the displacement from the starting point.",0.0,0.0,0.0,0.0,0.0
4e139,Mathematics,"lim (4ⁿ + 5ⁿ)^(1/n)
n→∞

The image shows a mathematical expression involving a limit. Specifically, it displays the limit as n approaches infinity of the expression (4^n + 5^n)^(1/n).",0.0,0.0,0.0,0.0,0.0
5d8fd,Physics,"हिमां बिंदु पर नियत आयतन तापमापी में गैस का दाब 70 kPa है। वाष्प बिंदु पर दाब होगा -

The image contains some mathematical expressions. It shows that pressure is directly proportional to temperature, represented as $P \propto T$. Also, it shows the relation between pressure and temperature as $\frac{P_1}{P_2} = \frac{T_1}{T_2}$. It is given that $P_1 = 70 \text{kPa}$ and the expression is written as $\frac{70 \text{kPa}}{P_2}$.",0.0,0.0,0.0,0.0,0.0
5de6d,Physics,"The diagram illustrates a projectile motion scenario. A projectile is launched with an initial velocity \( u_0 \) at an angle \( \theta \) with respect to the horizontal. The trajectory of the projectile is shown as a curved path. The maximum height \( H_{max} \) reached by the projectile is labeled as \( \frac{u_0^2 \sin^2 \theta}{2g} \). The horizontal distance covered by the projectile until it reaches its maximum height is labeled as \( \frac{R}{2} \), where \( R \) is the total range of the projectile. The total range \( R \) is also labeled as \( \frac{u_0^2 \sin 2\theta}{g} \). The horizontal component of the projectile's velocity is labeled as \( 2u_0 \cos \theta \). The horizontal distance covered after the projectile reaches its maximum height is labeled as \( S_x \).",0.0,0.0,0.0,0.0,0.0
5e4f3,Chemistry,"The equilibrium constants Kp₁ and Kp₂ for the reactions X ⇌ 2Y and Z ⇌ P + Q, respectively are in the ratio of 1 : 9. If the degree of dissociation of X and Z be equal then the ratio of total pressures at these equilibria is -

The image presents a chemistry question regarding equilibrium constants and degree of dissociation. It states that the equilibrium constants Kp1 and Kp2 for the reactions X reversible to 2Y and Z reversible to P + Q, respectively, are in the ratio of 1:9. It further states that if the degree of dissociation of X and Z are equal, then the ratio of total pressures at these equilibria needs to be determined.",0.0,0.0,0.0,0.0,0.0
5f5e7,Mathematics,The image contains a mathematical expression. It shows \( S_n \) equals the summation from \( j=1 \) to \( n \) of \( tan^{-1} \) of \( \frac{2j}{j^4 + j^2 + 2} \). It also mentions \( S_n \) and \( S_{\infty} \).,0.0,0.0,0.0,0.0,0.0
4c7fb,Physics,"net force on body ?

A block of mass 'm' is shown with two forces acting on it. A force of 2N is acting towards the right, and another force of 2N is acting towards the left. The question asks for the net force on the body.",0.0,0.0,0.0,0.0,0.0
60314,Mathematics,log_{\frac{1}{2}}^{2}(4x) + log_{2}(\frac{x^{2}}{8}) = 8,0.0,0.0,0.0,0.0,0.0
61de7,Physics,"A is highest point on the path of a projectile. If the average velocity of the projectile between O and A is 8i +3j than find the value of tan α

The diagram shows a projectile trajectory in a two-dimensional coordinate system. The projectile is launched from the origin (O) with an initial velocity 'u' at an angle α with respect to the horizontal x-axis. Point A represents the highest point of the trajectory, and point C is where the projectile lands on the x-axis. Point B is the point on the x-axis directly below point A.",0.0,0.0,0.0,0.0,0.0
bebc2,Mathematics,"दो वास्तविक संख्याएँ $\alpha$ एवं $\beta$ इस प्रकार है कि $\alpha + \beta = 3$ एवं $\alpha - \beta = 4$ हो, तो वह द्विघात समीकरण जिसके मूल $\alpha$ एवं $\beta$ है, होगी-",0.0,0.0,0.0,0.0,0.0
a9d77,Physics,"यदि बल -2 दिशा में लग रहा हो तो तथा चुम्बकीय क्षेत्र + में दिशा में हो व वेग सदिश x अक्ष से कोण पर हो तो ज्ञात करें? -
• स्थिति सदिश (a+0,0)
① वेग सदिश (ना
⑪ त्वरण (-11-)

The diagram shows a three-dimensional coordinate system with x, y, and z axes. The magnetic field vector B is along the positive x-axis, and its magnitude is denoted as B0. A velocity vector v is shown at an angle θ with respect to the x-axis. The force vector F is along the negative z-axis, pointing downwards.",0.0,0.0,0.0,0.0,0.0
bf1b3,Chemistry,"N₂H₄ का कितना द्रव्यमान 24.0 gm K₂CrO₄ द्वारा N₂ में ऑक्सीकृत किया जा सकता है, जबकि यह Cr(OH)₄⁻ में अपचयित होता है ?",0.0,0.0,0.0,0.0,0.0
bf5c7,Chemistry,"At temperature, T, a compound AB2 (g) dissociates according to the reaction 2AB2 (g) <=> 2AB (g) + B2 (g) with a degree of dissociation, x, which is small compared with unity. Deduce the expression for Kp in terms of x and the total pressure, P.

The image shows a chemical equilibrium problem. The reaction is the dissociation of 2AB2(g) into 2AB(g) and B2(g). The problem states that the degree of dissociation, x, is small compared to unity and asks to deduce the expression for Kp in terms of x and the total pressure, P.",0.0,0.0,0.0,0.0,0.0
f7885,Chemistry,"During an electolysis of conc H2SO4, peroxydisulphuric acid (H2S2O8) and O2 form in an equimolar amount. The moles of H2 that will be formed simultaneously will be

The image contains a question about the electrolysis of concentrated H2SO4, where peroxydisulphuric acid (H2S2O8) and O2 form in equimolar amounts. The question asks about the relationship between the moles of H2 and O2 formed simultaneously during the electrolysis.",0.0,0.0,0.0,0.0,0.0
c126b,Mathematics,y = sin²x − 6 cos x + 4,0.0,0.0,0.0,0.0,0.0
c37c5,Physics,त्रिज्या R के एक ठोस गोले में असमान आवेश घनत्व है जो \( \rho = \rho_0 x \) द्वारा दिया गया है जहाँ x गोले के केंद्र से दूरी है। गोले के अंदर और बाहर एक सामान्य बिंदु पर द्विद्युत क्षेत्र ज्ञात करें। (Optional),0.0,0.0,0.0,0.0,0.0
c3fbc,Physics,"यदि \(l\) किसी तापमापी के निम्नतम निर्धारित बिन्दु तथा उच्चतम निर्धारित बिन्दु के मध्य की दूरी है तथा \(x\) किसी तापमान \(t\)°C पर निम्नतम निर्धारित बिन्दु के ऊपर पारे की लम्बाई है, तब '\(t\)' का मान होगा -",0.0,0.0,0.0,0.0,0.0
621ac,Chemistry,"Kp for the reaction NH4I(s) ⇌ NH3(g) + HI(g) is 1/4 at 300 K. Above equilibrium is established by taking 4 moles of NH4I(s) in 100 litre container, then moles of NH4I(s) left in the container at equilibrium is [Take R = 1/12 Lt. atm mol-1 K-1]

The image presents a chemistry problem regarding chemical equilibrium. The reaction involves NH4I(s) in equilibrium with NH3(g) and HI(g). The equilibrium constant Kp for the reaction is given as 1/4 at 300 K. The problem states that the equilibrium is established by taking 4 moles of NH4I(s) in a 100-liter container. The question asks to find the moles of NH4I(s) left in the container at equilibrium. The value of R is given as 1/12 L atm mol-1 K-1.",0.0,0.0,0.0,0.0,0.0
f807a,Mathematics,"In the expansion of $(1 + x + x^2 + ...... + x^{27})(1 + x + x^2 + .... + x^{14})^2$, the coefficient of $x^{28}$ is:",0.0,0.0,0.0,0.0,0.0
f2c2b,Mathematics,Number of 4 digit numbers of the form N = abcd which satisfy following three conditions: (ⅰ) 4000 ≤ N < 6000 (ii) N is a multiple of 5 (iii) 3 ≤ b < c ≤ 6 is equal to,0.0,0.0,0.0,0.0,0.0
66a53,Physics,"एक धातु की पतली दीवार वाली टैंक जिसका क्षेत्रफल 5m² है, पानी से भरा हुआ है। और इसके अन्दर 1kW का हीटर डुबा है। टैंक 4 cm की पतली अवरोधक दीवार जिसकी उष्मा चालकता 0.2 W/m/K है। ढका हुआ है। अवरोधक का बाहरी हिस्सा 25°C पर है तो सतत् अवस्थ्य में टैंक का ताप क्या है।",0.0,0.0,0.0,0.0,0.0
67197,Chemistry,"At 727°C and 1.23 atm of total equilibrium pressure, SO3 is partially dissociated into SO2 and O2 according to SO3(g) ⇌ SO2(g) + 1/2O2(g). The density of equilibrium mixture is 0.9 g/litre. The degree of dissociation is:

The image shows a reversible chemical reaction where SO3(g) dissociates into SO2(g) and 1/2 O2(g). The reaction is carried out at 727°C and 1.23 atm total equilibrium pressure. The density of the equilibrium mixture is 0.9 g/litre.",0.0,0.0,0.0,0.0,0.0
68621,Mathematics,यदि समीकरण $2^x + 4^y = 2^y + 4^x$ को y के लिये x के पदों के रूप में हल किया जाता है x < 0 ता हलो का योग :,0.0,0.0,0.0,0.0,0.0
6896d,Mathematics,"Consider a parallelogram whose sides are represented by the lines 2x + 3y = 0; 2x + 3y - 5 = 0; 3x-4y = 0 and 3x – 4y = 3. The equation of the diagonal not passing through the origin, is:",0.0,0.0,0.0,0.0,0.0
68a2e,Mathematics,Find the number of 7 lettered palindromes which can be formed using the letters from the English alphabets.,0.0,0.0,0.0,0.0,0.0
68c8c,Physics,"If (y=x^2 and x=y^2)'s Graph is this. Then find distance of Centre of Mass from origin. {COM is marked as 0}

The image shows a graph with two curves intersecting each other. The x and y axes are drawn, with the origin labeled as (0,0). The curve opening upwards is labeled as y=x^2. The curve opening towards the right is labeled as x=y^2. The region enclosed between the two curves is shaded with vertical lines. The center of mass (COM) is marked on the x-axis.",0.0,0.0,0.0,0.0,0.0
68ee2,Physics,दो समरूप चालक तार AOB तथा COD परस्पर लम्बवत् रखे है। तार AOB में धारा \(I_1\) बहती है और COD में धारा \(I_2\) बहती है। तारों AOB और COD के तल के लम्बवत् दिशा में O से दूरी d पर एक बिन्दु पर चुम्बकीय क्षेत्र होगा,0.0,0.0,0.0,0.0,0.0
68fbc,Mathematics,"Consider the triangle pictured as shown. If 0 < α < π/2 then the number of integral values of c is:

The image shows a triangle ABC. The side AC has a length of 17, and the side CB has a length of 19. The side AB is labeled as 'c'. The angle at vertex C is labeled as α. It is given that 0 < α < π/2.",0.0,0.0,0.0,0.0,0.0
5a692,Mathematics,"Let \(a_1, a_2, a_3, .....\) be terms of an A.P. If \(\frac{a_1 + a_2 + ... + a_p}{a_1 + a_2 + ... + a_q} = \frac{p^2}{q^2}\), \(p \neq q\) then \(\frac{a_6}{a_{21}}\) equals :

The image presents a mathematical problem involving an arithmetic progression (A.P.). It states that if \(\frac{a_1 + a_2 + ... + a_p}{a_1 + a_2 + ... + a_q} = \frac{p^2}{q^2}\), where \(p \neq q\), then the value of \(\frac{a_6}{a_{21}}\) needs to be determined.",0.0,0.0,0.0,0.0,0.0
5b943,Mathematics,"यदि a = log 12, b = log 21, c = log 11 तथा d = log 22 तो log(1/7) को यदि P(a – b) + Q(c – d) के रूप में व्यक्त किया जाए जहां पर P व Q पूर्णक है तो (7P – Q) का मान होगा :",0.0,0.0,0.0,0.0,0.0
5be78,Mathematics,y = √(sec⁻¹((2-|x|)/4)) का प्रान्त होगा :,0.0,0.0,0.0,0.0,0.0
